CryoSlept,NoCryoSleep,RoomService,Spa,VRDeck,TotalSpent,Europa,Earth,B,InGroup,55 Cancri e,C,S,P,E,TRAPPIST-1e,Transported
0,1,0.0,990.0,0.0,2740.0,0,0,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1
0,1,784.0,951.0,0.0,2699.0,0,0,0,0,1,0,0,1,0,0,0
0,1,0.0,20.0,401.0,961.0,0,1,0,0,1,0,1,0,0,0,0
0,1,554.0,2606.0,0.0,3355.0,0,1,0,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,1
0,1,0.0,2511.0,855.0,3575.0,1,0,1,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,0,1
0,1,970.0,0.0,64.0,1214.0,0,0,0,1,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
0,1,790.0,0.0,0.0,790.0,0,1,0,0,1,0,1,0,1,0,0
0,1,0.0,1379.0,127.0,1618.0,0,1,0,0,0,0,1,0,1,1,0
0,1,4.0,4683.0,0.0,4689.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,0.0,1.0,1939.0,0,1,0,0,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,1
0,1,279.0,286.0,3.0,4547.0,1,0,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0
0,1,45.0,1377.0,1.0,2667.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,17.0,25.0,634.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,1,1
0,1,1.0,0.0,460.0,811.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,1
0,1,1.0,0.0,0.0,705.0,0,1,0,1,0,0,1,0,0,1,1
0,1,1946.0,0.0,24.0,2007.0,0,1,0,1,1,0,1,0,0,0,0
0,1,793.0,253.0,0.0,1048.0,0,0,0,0,0,0,1,0,1,1,0
0,1,887.0,6.0,0.0,902.0,0,1,0,0,0,0,1,0,0,1,1
0,1,190.0,1.0,726.0,922.0,0,1,0,0,0,0,0,1,0,1,0
0,1,16.0,0.0,52.0,2233.0,0,1,0,0,0,0,0,1,0,1,0
0,1,0.0,0.0,1063.0,1064.0,0,1,0,0,0,0,1,0,0,1,0
0,1,46.0,0.0,12.0,879.0,0,0,0,0,0,0,0,1,0,0,0
0,1,1.0,0.0,506.0,8904.0,1,0,0,0,0,1,1,0,0,1,1
0,1,147.0,0.0,0.0,1165.0,0,0,0,0,0,0,1,0,0,1,1
0,1,14.0,0.0,0.0,1309.0,0,0,0,0,0,0,0,1,0,1,1
0,1,0.0,321.0,9654.0,15815.0,1,0,0,0,0,1,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0
0,1,7406.0,0.0,0.0,7406.0,0,0,0,1,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
0,1,688.0,0.0,17.0,705.0,0,1,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,1,1
0,1,211.0,638.0,513.0,1362.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,1
0,1,1.0,188.0,0.0,917.0,0,1,0,1,0,0,1,0,0,1,0
0,1,0.0,1.0,34.0,705.0,0,1,0,1,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,0.0,3.0,637.0,1848.0,1,0,0,0,0,0,1,0,0,1,0
0,1,0.0,32.0,0.0,893.0,0,1,0,1,0,0,0,1,0,1,0
0,1,0.0,0.0,87.0,3855.0,0,1,0,1,0,0,0,1,0,1,1
0,1,311.0,37.0,0.0,1301.0,0,1,0,1,0,0,0,1,0,0,0
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1
0,1,0.0,830.0,91.0,921.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,0.0,17.0,17.0,0,1,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,0
0,1,0.0,2.0,131.0,703.0,0,1,0,0,0,0,0,1,0,1,0
0,1,1743.0,0.0,0.0,1765.0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,0
0,1,562.0,0.0,0.0,888.0,0,1,0,1,0,0,1,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,1
0,1,0.0,3929.0,764.0,5109.0,1,0,0,1,0,0,1,0,0,1,0
0,1,0.0,0.0,1687.0,2018.0,1,0,1,1,0,0,0,1,0,1,0
0,1,2209.0,1868.0,445.0,15940.0,1,0,1,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1,1,1
0,1,0.0,17.0,13.0,2654.0,1,0,1,0,1,0,1,0,0,0,1
0,1,0.0,0.0,0.0,804.0,0,1,0,0,0,0,0,1,0,1,1
0,1,82.0,238.0,1.0,907.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1
0,1,1.0,12.0,404.0,2640.0,1,0,0,0,0,0,0,1,0,1,1
0,1,0.0,65.0,6898.0,9307.0,0,1,0,1,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1
0,1,0.0,699.0,74.0,773.0,0,1,0,0,0,0,1,0,0,1,0
0,1,55.0,0.0,1.0,702.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1
0,1,701.0,0.0,25.0,1022.0,0,0,0,0,0,0,1,0,1,1,0
0,1,2353.0,316.0,2.0,3014.0,0,0,0,1,0,0,1,0,0,1,0
0,1,2103.0,0.0,0.0,2109.0,0,0,0,1,0,0,1,0,1,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,1
0,1,2738.0,0.0,0.0,2738.0,0,0,0,1,0,0,1,0,0,1,0
0,1,0.0,0.0,0.0,744.0,0,1,0,0,0,0,0,1,0,1,1
0,1,97.0,25.0,55.0,721.0,0,1,0,0,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,0.0,564.0,207.0,793.0,0,1,0,1,0,0,0,1,1,1,0
1,0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,440.0,0.0,462.0,902.0,0,1,0,1,0,0,0,1,0,1,0
0,1,0.0,0.0,0.0,97.0,0,0,0,0,0,0,0,1,0,1,0
0,1,0.0,0.0,0.0,630.0,0,1,0,0,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1
0,1,1072.0,0.0,76.0,1158.0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0
0,1,0.0,0.0,607.0,607.0,0,1,0,0,0,0,0,1,0,1,0
0,1,4119.0,0.0,61.0,4180.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,0,1,1
0,1,50.0,0.0,135.0,1873.0,0,1,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,1
0,1,1365.0,22.0,137.0,1572.0,0,0,0,1,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0
0,1,0.0,221.0,567.0,788.0,0,1,0,0,0,0,1,0,1,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,1
0,1,0.0,5.0,0.0,990.0,0,1,0,0,0,0,1,0,1,1,1
0,1,287.0,115.0,175.0,593.0,0,1,0,0,1,0,0,1,0,0,0
0,1,0.0,14970.0,2111.0,27428.0,1,0,1,0,0,0,1,0,0,1,0
0,1,3414.0,28.0,119.0,3722.0,0,0,0,0,0,0,1,0,0,1,0
0,1,1.0,2.0,11.0,906.0,0,1,0,1,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,0
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,0.0,299.0,92.0,394.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,1
0,1,17.0,0.0,232.0,821.0,0,1,0,0,0,0,1,0,0,1,1
0,1,62.0,0.0,956.0,1018.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1
0,1,84.0,202.0,98.0,788.0,0,1,0,0,1,0,0,1,1,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,0
0,1,0.0,898.0,0.0,908.0,0,1,0,1,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
0,1,0.0,1072.0,0.0,1080.0,0,0,0,1,0,0,0,1,0,1,0
0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
0,1,406.0,0.0,0.0,1273.0,0,0,0,0,0,0,0,1,0,1,1
0,1,1052.0,0.0,7.0,1778.0,0,0,0,0,0,0,0,1,0,0,0
0,1,0.0,795.0,575.0,2342.0,1,0,0,0,0,1,0,1,0,1,0
0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,1
0,1,0.0,878.0,443.0,3754.0,1,0,0,1,1,0,0,1,0,0,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,1,1
0,1,0.0,0.0,705.0,773.0,0,1,0,0,0,0,1,0,0,1,0
0,1,2.0,1125.0,122.0,2981.0,1,0,0,0,1,1,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1
0,1,902.0,0.0,0.0,1040.0,0,0,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
0,1,848.0,182.0,0.0,1337.0,0,0,0,1,0,0,0,1,0,1,0
0,1,192.0,51.0,739.0,982.0,0,1,0,1,0,0,0,1,1,1,0
0,1,147.0,10.0,387.0,732.0,0,1,0,1,0,0,0,1,0,1,0
0,1,367.0,0.0,146.0,794.0,0,1,0,0,0,0,0,1,0,1,0
0,1,0.0,0.0,1918.0,1974.0,0,1,0,0,1,0,1,0,0,0,0
0,1,1517.0,27.0,0.0,1544.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,0
0,1,122.0,0.0,0.0,206.0,0,1,0,1,0,0,0,1,1,1,0
0,1,0.0,0.0,1099.0,1102.0,0,1,0,1,0,0,0,1,0,1,0
0,1,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,2237.0,0.0,0.0,2356.0,0,0,0,1,1,0,1,0,1,0,0
0,1,1215.0,2.0,0.0,1298.0,0,0,0,1,0,0,1,0,1,1,0
0,1,1933.0,1.0,0.0,2134.0,0,0,0,1,0,0,1,0,1,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,1,1
0,1,1230.0,43.0,1023.0,2597.0,0,0,0,1,0,0,1,0,1,1,0
0,1,915.0,234.0,0.0,1370.0,0,0,0,1,0,0,1,0,1,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,1,0
0,1,1406.0,11.0,0.0,1417.0,0,0,0,1,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,1,1
0,1,0.0,0.0,9.0,676.0,0,1,0,0,0,0,1,0,0,1,0
0,1,181.0,1634.0,0.0,1820.0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1
0,1,4.0,713.0,79.0,803.0,0,1,0,0,0,0,1,0,0,1,0
0,1,85.0,1720.0,0.0,1806.0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0
0,1,56.0,1438.0,0.0,1750.0,0,0,0,0,0,0,1,0,0,1,0
0,1,0.0,0.0,0.0,888.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,1,1
0,1,637.0,92.0,319.0,1048.0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1
0,1,0.0,4812.0,1116.0,7177.0,1,0,0,0,1,0,0,1,1,0,0
0,1,313.0,283.0,0.0,1288.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,1
0,1,0.0,0.0,7.0,3578.0,1,0,0,1,1,1,0,1,0,0,1
0,1,0.0,584.0,10912.0,12378.0,1,0,0,1,0,1,0,1,0,1,0
0,1,2947.0,27.0,0.0,3261.0,0,0,0,0,0,0,0,1,0,1,0
0,1,0.0,8620.0,1063.0,9684.0,1,0,0,0,0,1,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,1,0,0,0,1
0,1,335.0,0.0,0.0,1571.0,0,1,0,0,0,0,0,1,0,1,0
0,1,272.0,0.0,1.0,888.0,0,1,0,0,0,0,0,1,0,1,0
0,1,702.0,2.0,6.0,1290.0,0,1,0,0,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,1
0,1,1664.0,0.0,0.0,1664.0,0,0,0,1,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,1
0,1,0.0,299.0,92.0,704.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,981.0,2054.0,7845.0,1,0,0,0,0,0,1,0,1,1,0
0,1,66.0,0.0,803.0,898.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,1
0,1,118.0,754.0,1.0,873.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,0.0,0.0,823.0,0,1,0,0,1,0,1,0,0,0,1
0,1,0.0,0.0,1240.0,1393.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1
0,1,44.0,53.0,0.0,2487.0,0,1,0,0,1,0,0,1,0,0,1
0,1,0.0,888.0,0.0,888.0,0,1,0,1,0,0,1,0,0,1,0
0,1,0.0,14.0,333.0,444.0,0,1,0,1,0,0,0,1,0,1,0
0,1,0.0,0.0,0.0,2078.0,0,1,0,0,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,918.0,0,1,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,0,1
0,1,146.0,0.0,2.0,803.0,0,1,0,1,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,1,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,1,0,1
0,1,3.0,162.0,13.0,1488.0,0,1,0,0,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,1,0,0,0,1
0,1,0.0,6.0,1460.0,2085.0,1,0,1,1,0,0,0,1,0,1,0
0,1,0.0,0.0,828.0,828.0,0,1,0,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,1,0,0,0,1
0,1,0.0,1157.0,262.0,5877.0,1,0,1,1,1,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,0,0,0,1
0,1,0.0,1090.0,0.0,7678.0,1,0,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,1,1
0,1,90.0,17.0,0.0,1433.0,0,1,0,0,0,0,0,1,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,0.0,1370.0,1385.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1
0,1,0.0,1851.0,5166.0,7439.0,1,0,0,0,0,0,1,0,1,1,0
0,1,0.0,20.0,2469.0,3073.0,1,0,0,0,1,1,0,1,0,0,0
0,1,368.0,1.0,101.0,904.0,0,1,0,0,0,0,1,0,1,1,0
0,1,0.0,0.0,0.0,1359.0,0,1,0,0,0,0,1,0,0,1,1
0,1,1194.0,6.0,0.0,1357.0,0,1,0,0,0,0,1,0,0,1,0
0,1,0.0,4476.0,241.0,4947.0,1,0,0,0,0,0,1,0,0,1,0
0,1,7.0,0.0,4.0,552.0,0,1,0,1,0,0,0,1,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,1
0,1,331.0,318.0,0.0,649.0,0,1,0,1,1,0,0,1,0,0,1
0,1,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,1
0,1,386.0,0.0,1330.0,1790.0,0,1,0,0,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1
0,1,0.0,170.0,0.0,2798.0,1,0,1,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,2.0,0,1,0,1,0,0,1,0,0,1,0
0,1,0.0,0.0,0.0,8.0,0,1,0,1,0,0,1,0,0,1,0
0,1,1018.0,0.0,0.0,1227.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0
0,1,17.0,0.0,2.0,803.0,0,1,0,0,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,0.0,1,0,0,1,0,1,1,0,0,1,1
0,1,247.0,46.0,202.0,5146.0,1,0,0,1,0,1,1,0,0,1,1
0,1,443.0,148.0,1260.0,2168.0,1,0,0,1,0,1,1,0,0,1,0
0,1,0.0,0.0,552.0,803.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1
0,1,5715.0,1476.0,0.0,7404.0,0,0,0,0,0,0,1,0,0,1,0
0,1,695.0,0.0,0.0,712.0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,1
0,1,417.0,3.0,1057.0,2460.0,0,0,0,1,0,0,1,0,0,1,1
0,1,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0
0,1,121.0,274.0,907.0,1302.0,0,1,0,0,0,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1
0,1,434.0,0.0,0.0,1868.0,0,0,0,0,0,0,1,0,0,1,0
0,1,142.0,3.0,0.0,3223.0,0,0,0,1,0,0,0,1,0,1,1
0,1,520.0,0.0,0.0,2385.0,0,0,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1
0,1,2001.0,0.0,0.0,4976.0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,1
0,1,0.0,124.0,572.0,1894.0,0,1,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,1
0,1,148.0,0.0,88.0,689.0,0,1,0,0,0,0,1,0,0,0,0
0,1,358.0,0.0,112.0,715.0,0,1,0,0,0,0,1,0,0,1,0
